CODE,DATACOUNT,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,145,True,66000,,10,176332.09,,6602000,石岡區,102,176332.09,145,臺中市,PItemStatistics
,445,True,66000,,10,629871.82,,6601500,后里區,102,629871.82,445,臺中市,PItemStatistics
,1366,True,66000,,10,2112146.8,,6600600,西屯區,102,2112146.8,1366,臺中市,PItemStatistics
,732,True,66000,,10,578888.23,,6600400,西區,102,578888.23,732,臺中市,PItemStatistics
,468,True,66000,,10,779419.41,,6601300,沙鹿區,102,779419.41,468,臺中市,PItemStatistics
,190,True,66000,,10,214136.57,,6602900,和平區,102,214136.57,190,臺中市,PItemStatistics
,522,True,66000,,10,896707.54,,6600200,東區,102,896707.54,522,臺中市,PItemStatistics
,398,True,66000,,10,582288.88,,6601000,東勢區,102,582288.88,398,臺中市,PItemStatistics
,1031,True,66000,,10,1365678.66,,6600700,南屯區,102,1365678.66,1031,臺中市,PItemStatistics
,628,True,66000,,10,590245.89,,6600300,南區,102,590245.89,628,臺中市,PItemStatistics
,444,True,66000,,10,1039038.19,,6602300,烏日區,102,1039038.19,444,臺中市,PItemStatistics
,429,True,66000,,10,863476.91,,6601600,神岡區,102,863476.91,429,臺中市,PItemStatistics
,363,True,66000,,10,947328.95,,6601400,梧棲區,102,947328.95,363,臺中市,PItemStatistics
,660,True,66000,,10,1060092.05,,6601200,清水區,102,1060092.05,660,臺中市,PItemStatistics
