CODE,DATACOUNT,industry_name,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,0,礦業及土石採取業,False,66000,,2,,B,6601300,沙鹿區,102,0,,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,2.6,B,6602900,和平區,102,2.6,2,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6600200,東區,102,0,,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,3.2,B,6601000,東勢區,102,3.2,2,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,12.8,B,6600700,南屯區,102,12.8,2,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6600300,南區,102,0,,臺中市,PHighStatistics
,3,礦業及土石採取業,False,66000,,2,40.4,B,6602300,烏日區,102,40.4,3,臺中市,PHighStatistics
,6,礦業及土石採取業,True,66000,,2,45.1,B,6601600,神岡區,102,45.1,6,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,212.8,B,6601400,梧棲區,102,212.8,2,臺中市,PHighStatistics
,3,礦業及土石採取業,False,66000,,2,16.7,B,6601200,清水區,102,16.7,3,臺中市,PHighStatistics
,1,礦業及土石採取業,False,66000,,2,0.9,B,6601900,新社區,102,0.9,1,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6601700,潭子區,102,0,,臺中市,PHighStatistics
,4,礦業及土石採取業,True,66000,,2,15.2,B,6602500,龍井區,102,15.2,4,臺中市,PHighStatistics
,1,礦業及土石採取業,False,66000,,2,0.9,B,6600900,豐原區,102,0.9,1,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,24.5,B,6602600,霧峰區,102,24.5,2,臺中市,PHighStatistics
,169,製造業,True,66000,,2,2463.1,C,6601100,大甲區,102,2463.1,169,臺中市,PHighStatistics
,14,製造業,True,66000,,2,64.3,C,6602200,大安區,102,64.3,14,臺中市,PHighStatistics
,76,製造業,True,66000,,2,1222.1,C,6602400,大肚區,102,1222.1,76,臺中市,PHighStatistics
,171,製造業,True,66000,,2,1309.9,C,6602800,大里區,102,1309.9,171,臺中市,PHighStatistics
,121,製造業,True,66000,,2,13787.5,C,6601800,大雅區,102,13787.5,121,臺中市,PHighStatistics
,13,製造業,True,66000,,2,66.3,C,6600100,中區,102,66.3,13,臺中市,PHighStatistics
,210,製造業,True,66000,,2,1743.7,C,6602700,太平區,102,1743.7,210,臺中市,PHighStatistics
,6,製造業,True,66000,,2,27.4,C,6600800,北屯區,102,27.4,6,臺中市,PHighStatistics
,0,製造業,False,66000,,2,,C,6600500,北區,102,0,,臺中市,PHighStatistics
,29,製造業,True,66000,,2,308.5,C,6602100,外埔區,102,308.5,29,臺中市,PHighStatistics
,11,製造業,True,66000,,2,48.2,C,6602000,石岡區,102,48.2,11,臺中市,PHighStatistics
,58,製造業,True,66000,,2,12870.1,C,6601500,后里區,102,12870.1,58,臺中市,PHighStatistics
,245,製造業,True,66000,,2,23112.2,C,6600600,西屯區,102,23112.2,245,臺中市,PHighStatistics
,2,製造業,False,66000,,2,3.6,C,6600400,西區,102,3.6,2,臺中市,PHighStatistics
,37,製造業,True,66000,,2,904.1,C,6601300,沙鹿區,102,904.1,37,臺中市,PHighStatistics
,0,製造業,False,66000,,2,,C,6602900,和平區,102,0,,臺中市,PHighStatistics
,13,製造業,True,66000,,2,133.1,C,6600200,東區,102,133.1,13,臺中市,PHighStatistics
,6,製造業,True,66000,,2,15,C,6601000,東勢區,102,15,6,臺中市,PHighStatistics
,178,製造業,True,66000,,2,2330.9,C,6600700,南屯區,102,2330.9,178,臺中市,PHighStatistics
,23,製造業,True,66000,,2,66.5,C,6600300,南區,102,66.5,23,臺中市,PHighStatistics
,76,製造業,True,66000,,2,1412.9,C,6602300,烏日區,102,1412.9,76,臺中市,PHighStatistics
,132,製造業,True,66000,,2,948.7,C,6601600,神岡區,102,948.7,132,臺中市,PHighStatistics
,142,製造業,True,66000,,2,4901.8,C,6601400,梧棲區,102,4901.8,142,臺中市,PHighStatistics
,48,製造業,True,66000,,2,840.6,C,6601200,清水區,102,840.6,48,臺中市,PHighStatistics
,5,製造業,True,66000,,2,43.5,C,6601900,新社區,102,43.5,5,臺中市,PHighStatistics
,144,製造業,True,66000,,2,6646.6,C,6601700,潭子區,102,6646.6,144,臺中市,PHighStatistics
,88,製造業,True,66000,,2,8336.9,C,6602500,龍井區,102,8336.9,88,臺中市,PHighStatistics
,76,製造業,True,66000,,2,438.1,C,6600900,豐原區,102,438.1,76,臺中市,PHighStatistics
,64,製造業,True,66000,,2,707.9,C,6602600,霧峰區,102,707.9,64,臺中市,PHighStatistics
